<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.02	00:00:00	1.22651	1.22805	1.22608	1.22743	13183	0	1
2018.03.02	04:00:00	1.22744	1.22877	1.22697	1.22791	11334	0	1
2018.03.02	08:00:00	1.22791	1.22819	1.22514	1.22759	30453	0	1
2018.03.02	12:00:00	1.22759	1.23229	1.22745	1.23090	39884	0	1
2018.03.02	16:00:00	1.23090	1.23326	1.22971	1.23122	41405	0	1
2018.03.02	20:00:00	1.23123	1.23359	1.23121	1.23184	17209	0	1
2018.03.05	00:00:00	1.23324	1.23645	1.22994	1.23298	24538	0	1
2018.03.05	04:00:00	1.23299	1.23305	1.23125	1.23189	11399	0	1
2018.03.05	08:00:00	1.23189	1.23345	1.22688	1.23221	40769	0	1
2018.03.05	12:00:00	1.23222	1.23316	1.22839	1.23081	29448	0	1
2018.03.05	16:00:00	1.23080	1.23488	1.23021	1.23342	38187	0	1
2018.03.05	20:00:00	1.23340	1.23387	1.23217	1.23353	15522	0	1
2018.03.06	00:00:00	1.23353	1.23630	1.23320	1.23557	13173	0	1
2018.03.06	04:00:00	1.23559	1.23596	1.23430	1.23491	9710	0	1
2018.03.06	08:00:00	1.23490	1.23555	1.23280	1.23441	29381	0	1
2018.03.06	12:00:00	1.23441	1.24143	1.23345	1.24071	41186	0	1
2018.03.06	16:00:00	1.24072	1.24201	1.23865	1.23932	40582	0	1
2018.03.06	20:00:00	1.23933	1.24115	1.23921	1.24033	14553	0	1
2018.03.07	00:00:00	1.24033	1.24289	1.24033	1.24139	23941	0	1
2018.03.07	04:00:00	1.24140	1.24227	1.24106	1.24186	13426	0	1
2018.03.07	08:00:00	1.24186	1.24336	1.24039	1.24233	31718	0	1
2018.03.07	12:00:00	1.24231	1.24448	1.23980	1.24147	31192	0	1
2018.03.07	16:00:00	1.24148	1.24225	1.23848	1.24005	40089	0	1
2018.03.07	20:00:00	1.24005	1.24156	1.23966	1.24107	10416	0	1
2018.03.08	00:00:00	1.24107	1.24154	1.23963	1.24005	10458	0	1
2018.03.08	04:00:00	1.24005	1.24098	1.23960	1.24040	11364	0	1
2018.03.08	08:00:00	1.24039	1.24147	1.23780	1.23827	29948	0	1
2018.03.08	12:00:00	1.23827	1.24462	1.23687	1.24026	53739	0	1
2018.03.08	16:00:00	1.24027	1.24048	1.23043	1.23186	48193	0	1
2018.03.08	20:00:00	1.23186	1.23197	1.22979	1.23103	21350	0	1
2018.03.09	00:00:00	1.23102	1.23170	1.22951	1.22987	18173	0	1
2018.03.09	04:00:00	1.22988	1.23174	1.22971	1.23152	11550	0	1
2018.03.09	08:00:00	1.23152	1.23218	1.22945	1.23019	27460	0	1
2018.03.09	12:00:00	1.23019	1.23135	1.22730	1.22933	39585	0	1
2018.03.09	16:00:00	1.22937	1.23342	1.22913	1.23176	40847	0	1
2018.03.09	20:00:00	1.23176	1.23212	1.23026	1.23053	14500	0	1
2018.03.12	00:00:00	1.23096	1.23185	1.22985	1.23167	8624	0	1
2018.03.12	04:00:00	1.23166	1.23258	1.23160	1.23197	8333	0	1
2018.03.12	08:00:00	1.23197	1.23408	1.23116	1.23118	22901	0	1
2018.03.12	12:00:00	1.23118	1.23155	1.22903	1.23078	25051	0	1
2018.03.12	16:00:00	1.23077	1.23353	1.23071	1.23293	25593	0	1
2018.03.12	20:00:00	1.23291	1.23456	1.23280	1.23346	12555	0	1
2018.03.13	00:00:00	1.23344	1.23453	1.23330	1.23390	6900	0	1
2018.03.13	04:00:00	1.23390	1.23405	1.23251	1.23281	8479	0	1
2018.03.13	08:00:00	1.23280	1.23381	1.23145	1.23291	22772	0	1
2018.03.13	12:00:00	1.23295	1.23854	1.23261	1.23687	42422	0	1
2018.03.13	16:00:00	1.23688	1.24074	1.23398	1.23911	39328	0	1
2018.03.13	20:00:00	1.23911	1.24000	1.23842	1.23911	14194	0	1
2018.03.14	00:00:00	1.23911	1.24055	1.23884	1.24030	8433	0	1
2018.03.14	04:00:00	1.24031	1.24125	1.24006	1.24042	9171	0	1
2018.03.14	08:00:00	1.24043	1.24058	1.23612	1.23666	32249	0	1
2018.03.14	12:00:00	1.23667	1.23968	1.23523	1.23576	34365	0	1
